RT,SR,A1,T1,AD,FD,ID,CL,AB,DB,LA,DS
Patent,1,成文俊;刘岸春;杨玉晴,一种抗静电无卤阻燃UHMWPE/石墨烯复合材料及其制备方法,224007 江苏省盐城市经济开发区东环路69号,2014-03-05,CN103613830A,发明专利,"本发明公开了一种抗静电无卤阻燃UHMWPE/石墨烯复合材料及其制备方法。按重量份数,包含：UHMWPE70～120份,阻燃剂6～30份、协效阻燃剂3～15份、流动改性剂2～20份、抗氧剂0.05～2份、抗静电剂3～8份、相容剂2～8份,消烟剂1～3份。本发明采用了新型的抗静电剂用以提高UHMWPE的抗静电性,这种新型的抗静电剂是超支化聚乙烯表面修饰的石墨烯。这种新型的抗静电剂的优势在于：方面由于石墨烯超高的导电率,能在添加量较少的条件下在基体树脂中形成良好的导电通道,另一方面经过超支化聚乙烯表面修饰的石墨烯能够很好的分散在UHMWPE并与其界面粘接能力变大。",中国专利,,CNKI
Patent,1,W·R·迪希特尔;H·阿斯兰;F·J·乌里贝-罗莫,石墨烯纳米带及其制备方法和用途,美国纽约州,2014-03-12,CN103635423A,发明专利,"本申请提供一种石墨烯纳米带(GNR)、GNR的制备方法和GNR的用途。所述方法能够控制GNR的参数,例如长度、宽度和边缘组成(例如,边缘的官能团)。所述方法基于聚苯撑乙炔聚合物的碳碳三键在金属催化下的环加成反应。所述GNR能够用于设备中,例如微电子设备中。",中国专利,,CNKI
Patent,1,陈伟凡;刘越;刘铭;王琳琳;卓明鹏,一种过渡金属硫化物/石墨烯复合纳米材料的制备方法,330031 江西省南昌市红谷滩新区学府大道999号,2014-03-12,CN103623844A,发明专利,"一种过渡金属硫化物/石墨烯复合纳米材料的制备方法,包括以下步骤：(1)根据制备目标产物的量,按照过渡金属硫化物中各元素的化学计量比及石墨烯负载量,分别称取相应的原料；(2)在室温条件下,将硫源化合物和石墨烯粉末置于研钵中,混合均匀,研磨20~40分钟；(3)将称取的过渡金属盐与步骤(2)得到的粉末混合,研磨30min~60min；(4)步骤(3)制得的产物在50~200℃温度下,保温30~180分钟；(5)步骤(4)得到的产物经洗涤、干燥,即得最终产物。本发明合成温度低、时间短、实施简单、成本低廉,硫化物粒径小、大小均匀,在石墨烯上分散性均匀。",中国专利,,CNKI
Patent,1,唐华;张杜;张毅,一种石墨烯/BiOClxBr1-x微纳米复合光催化剂及其制备方法,212013 江苏省镇江市京口区学府路301号,2014-03-12,CN103623849A,发明专利,"本发明涉及一种石墨烯/BiOClxBr1-x微纳米复合光催化剂及其制备方法。该光催化剂是以石墨烯为载体,负载有BiOClxBr1-x微纳米球的复合型光催化剂：其中Cl:Br=7:3,对氧化石墨烯的还原改性,使其具有更强的电子传输能力；对石墨烯表面进行BiOClxBr1-x微纳米球的负载改性,促进了光生电子从BiOClxBr1-x到石墨烯表面的迁移,制备的石墨烯负载BiOClxBr1-x光催化剂具有高的紫外及可见光光催化活性。",中国专利,,CNKI
Patent,1,张爱民;凌强;杨明;饶日川;杨红晓;张清云;刘花德,一种高分散层状纳米二氧化铈/石墨烯复合材料的制备方法,210093 江苏省南京市汉口路22号,2014-03-05,CN103611523A,发明专利,"本发明提出了一种制备高分散层状纳米二氧化铈/石墨烯复合材料的简便方法。采用廉价的氧化石墨,无机原料和二甲基甲酰胺(DMF)溶液,以丙烯酰胺为添加剂,水合肼为还原剂,利用简单的水浴反应,通过改变丙烯酰胺的添加量可以明显改善负载在石墨烯表面二氧化铈纳米粒子的分布和大小,本方法操作简单,原料价廉易得,易于产业化,具有广阔的实际应用前景。",中国专利,,CNKI
Patent,1,李朝晖;叶琳,一种还原氧化石墨烯/ZnIn2S4光催化剂及其制备方法和应用,350002 福建省福州市鼓楼区工业路523号,2014-03-05,CN103611548A,发明专利,"本发明公开了一种还原氧化石墨烯/ZnIn2S4光催化剂及其制备方法和应用,属于无机化学和光催化技术领域。所述的光催化剂是一种以还原氧化石墨烯作为电子的传输体,促进了电子和空穴的分离,且片状的ZnIn2S4紧密堆积平铺在还原氧化石墨烯上的半导体复合光催化剂,其化学式为RGO/ZnIn2S4。本发明通过一步溶剂热法合成高还原性的片状RGO/ZnIn2S4复合物,无需再进一步通过光还原或者加入还原剂(例如肼)进行还原。通过此方法得到的复合光催化剂具有高效的光催化产氢效果,制备方法简便易行,有利于大规模的工业推广。",中国专利,,CNKI
Patent,1,周志华;张平安;林越来;李玉兰;李含冬;巫江;王志明,铜锌锡硫/氧化石墨烯复合半导体光催化剂的制备方法,610000 四川省成都市高新区(西区)西源大道2006号,2014-03-05,CN103611549A,发明专利,"本发明公开了一种铜锌锡硫/氧化石墨烯复合半导体光催化剂的制备方法,该光催化剂由氧化石墨烯包覆的铜锌锡硫组成,其制备方法包括如下步骤：步骤一,将质量分数为0.05～0.2%,32%～34%,16%～18%,21%～23%和26%～29%的氧化石墨烯、铜的化合物、锌的化合物、锡的化合物和硫的化合物均匀混合分散在承载溶液中,形成前驱体溶液；步骤二,将反应前驱体在高温下反应,制备得到铜锌锡硫/氧化石墨烯半复合半导体光催化剂。本发明制备的铜锌锡硫/氧化石墨烯复合化合物光催化剂提高了催化剂的抗光溶解和抗光腐蚀能力,使得光催化剂能够长期稳定的降解水体中的有机污染物。",中国专利,,CNKI
Patent,1,乔锦丽;周学俊;石晶晶;卿欣,一种氮掺杂石墨烯催化剂及其制备方法及应用,201620 上海市松江区人民北路2999号,2014-03-05,CN103611555A,发明专利,"本发明提供了一种氮掺杂石墨烯催化剂及其制备方法及应用。所述的氮掺杂石墨烯催化剂,其特征在于,由氮掺杂石墨烯前驱体经过焙烧制成,所述的氮掺杂石墨烯前驱体采用包括非贵金属盐及其水合物中的至少一种、氧化石墨和含氮有机小分子的原料制备,所述原料中氧化石墨的质量百分比为10wt％～89wt％,含氮有机小分子的质量百分比为10wt％～89wt％,非贵金属盐及其水合物中的至少一种的质量百分比为1wt％～10wt％。本发明的氮掺杂石墨烯制备工艺简单,过程易于操作,活性高,成本低,易于工业化生产,可以应用于燃料电池、金属-空气电池以及微生物燃料电池等领域。",中国专利,,CNKI
Patent,1,曾尤;谢桂媛;王函;英哲;任文才;刘畅;成会明,一种以石墨烯为填料的耐磨损硬质复合材料及其制备方法,110016 辽宁省沈阳市沈河区文化路72号,2014-03-05,CN103613883A,发明专利,"本发明属于高分子复合材料领域,特别涉及一种以新型纳米碳材料——石墨烯为填料的耐磨损硬质复合材料及其制备方法。该复合材料是由聚合物基体和石墨烯熔融共混、热压构成的硬质复合材料板,首先将石墨烯与聚合物基体及稀土稳定剂混合均匀,再用转矩流变仪熔融共混得到块体复合物,最后经平板硫化机热压得到硬质复合板材,二维石墨烯纳米碳材料在复合材料中的含量为0.1～3wt%。以炭材料为填料的聚合物基复合材料具有重量轻、易加工、耐腐蚀以及耐摩擦等特点在国防工业和汽车领域有着广泛的应用。本发明可以满足航空、航天、汽车、机械等领域对现有高性能聚合物复合材料越来越高的摩擦学性能的要求,且该复合材料制备工艺简单,易于实现工业...",中国专利,,CNKI
Patent,1,李ﾈﾐ;白瑞;赵九蓬;牛永安,一种聚酰亚胺/氟化石墨烯复合薄膜及其制备方法,150006 黑龙江省哈尔滨市南岗区西大直街92号,2014-03-05,CN103613927A,发明专利,"本发明提供了一种聚酰亚胺/氟化石墨烯复合薄膜及其制备方法。其制备过程包括：使用聚酰亚胺前驱体聚酰胺酸(PAA)为基体,单层的氟化石墨烯为增强体,采用溶液共混法获得含有氟化石墨烯的溶胶,通过流延成膜、静置、消泡最后进行阶梯升温程序使其热亚胺化,从而获得聚酰亚胺/氟化石墨烯复合薄膜。通过上述方法获得的复合薄膜具有光学性能好、力学性能好、介电常数低的优势。",中国专利,,CNKI
