RT,SR,A1,T1,AD,FD,ID,CL,AB,DB,LA,DS
Patent,1,方长青;于瑞恩;程有亮;周星,一种氧化石墨烯改性沥青及其制备方法,710048 陕西省西安市金花南路5号,2014-05-28,CN103819915A,发明专利,"一种氧化石墨烯改性沥青,按质量百分比其组成为：氧化石墨烯0.5%～15%和基质沥青85%～99.5%,以上组分质量百分比之和为100%。其制备方法：将基质沥青加热熔化,保持温度为120～200℃,加入氧化石墨烯,人工搅拌20～40min,剪切机搅拌20～120min,降温至100～150℃,放置20～50min,使其充分溶胀；将沥青混合料在剪切机上再次进行剪切80～100min,直至氧化石墨烯均匀分散于沥青中即得。本发明氧化石墨烯改性沥青,以氧化石墨烯作为改性剂改性沥青,能够明显提高基质沥青的高温性能、抗变型能力,大大提高沥青路面抗车辙能力。",中国专利,,CNKI
Patent,1,胡桢;黄玉东;李震辉;王亚飞;易国星;赵生俊;李楠;黎俊,含石墨烯的可发性聚苯乙烯聚合物的制备方法,150001 黑龙江省哈尔滨市南岗区西大直街92号,2014-05-28,CN103819597A,发明专利,"含石墨烯的可发性聚苯乙烯聚合物的制备方法,它涉及一种含石墨烯聚苯乙烯聚合物的制备方法。本发明要解决现有的石墨烯聚苯乙烯复合材料的制备方法以石墨烯为原料,从而导致制备成本高、工艺复杂和不适合大规模工业化生产的问题。本发明方法：一、采用Hummers法制备氧化石墨；二、第一混合物的制备；三、第二混合物的制备；四、石墨烯的可发性聚苯乙烯聚合物的制备,即得含石墨烯的可发性聚苯乙烯聚合物。本发明得到的含石墨烯的可发性聚苯乙烯聚合物成型后得到泡沫板材,泡沫板材的阻燃等级可达B1级,泡沫板材的热导率值为0.032～0.040W/(m·K)。本发明适用于聚苯乙烯材料的制备方法领域。",中国专利,,CNKI
Patent,1,魏燕彦;马凤国;林润雄,一种氧化石墨烯/光固化树脂复合材料及其制备方法和应用,266061 山东省青岛市崂山区松岭路99号,2014-05-28,CN103819656A,发明专利,"本发明提供了一种氧化石墨烯/光固化树脂复合材料及其制备方法和应用,它包括氧化石墨烯和光固化树脂两相,氧化石墨烯均匀分散于光固化树脂中,氧化石墨烯的含量为0.1~1wt%,所述光固化树脂包括低聚物、光引发剂和活性稀释剂。本发明将氧化石墨烯纳米材料分散于光固化树脂中,得到氧化石墨烯/光固化树脂纳米复合材料,一定程度提高了普通光固化树脂的断裂延长率和最大弯曲应变,涂膜抗冲击强度提高2倍,使得3D打印机打印出来的部件具有更好的力学性能。",中国专利,,CNKI
Patent,1,张东;刘艳云,一种石墨烯枝晶的制备方法及其石墨烯枝晶,200092 上海市杨浦区四平路1239号,2014-06-04,CN103834993A,发明专利,"本发明涉及一种石墨烯枝晶的制备方法及其石墨烯枝晶,在氧化石墨烯溶液的两端施加方波电信号后,通过调控占空比、频率、电压,使得实际使用的电流密度超过极限电流密度,扩散过电位急聚增大,电极附近将严重缺乏氧化石墨烯粒子,只有粒子能达到的部分晶面还能继续长大,而另一部分晶面却被钝化,电极上以须状的枝晶物质生长,即为石墨烯枝晶。与现有技术相比,本发明利用方波电沉积技术通过调控各种工艺参数,使得实际使用的电流密度超过极限电流密度,首次发现并制得了石墨烯枝晶。而且该石墨烯枝晶具有优异的电学,力学性能。本发明对探索开发新型石墨烯衍生物材料并拓展石墨烯的应用领域具有重要的理论和指导意义。",中国专利,,CNKI
Patent,1,刘欣,一种石墨烯填充聚丙烯复合材料及其制备方法,230601 安徽省合肥市经济技术开发区莲花路2388号,2014-06-04,CN103834094A,发明专利,"本发明属于复合材料技术领域,涉及一种石墨烯填充聚丙烯复合材料及其制备方法。该复合材料由包含以下重量份的组分制成：石墨烯0.5~2份,聚丙烯98~99.5份。本发明的复合材料以聚丙烯为基体,石墨烯为填料,由于石墨烯是由碳六元环组成的两维周期蜂窝状点阵结构,其最大的特性是其中电子的运动速度达到了光速的1/300,远远超过了电子在一般导体中的运动速度,所以只要添加少量即可达到导电的要求,不会破坏基体材料的连续性,并保持了高分子材料容易加工的优点,该复合材料具有良好的PTC性能,既有电加热和过热保护功能,又有限温作用。同时该材料采用熔融共混法制备,工艺简单,操作方便,重复性好,适于大规模工业化生产。",中国专利,,CNKI
Patent,1,A·欧厄吉,在含硅层基材表面上形成石墨烯层的方法,法国巴黎,2014-06-04,CN103842291A,发明专利,"本发明涉及一种在含硅层(101)的基材(100)表面上形成石墨烯层(105)的方法,所述方法包括以下连续步骤：在所述硅层的自由表面上形成(1)碳化硅膜(103)；以及逐步加热该基材,直到至少该碳化硅膜的第一排原子中的硅升华,从而在所述碳化硅膜上形成石墨烯层。根据本发明,使用了自由表面为阶梯式的硅层。",中国专利,,CNKI
Patent,1,王帅;米丽班·霍加艾合买提;田华玲;席玉鹏,一种用焦油渣制备多层石墨烯的方法,830054 新疆维吾尔自治区乌鲁木齐市沙依巴克区新医路102号,2014-05-28,CN103818894A,发明专利,"本发明公开了一种利用焦油渣为原料通过微波加热直接制备多层石墨烯粉体的方法。该制备方法将焦油渣与碱混合,采用微波快速加热的方式大量、快速制备多层石墨烯,制备过程中通过高温热解将焦油渣在强碱的作用下得到多层石墨烯,后续使用水洗、酸洗去除杂质。本发明的效果和优势在于所制得的多层石墨烯收率和含量较高,可在锂离子电池负极材料、吸附材料和催化剂载体等诸多领域取得应用；同时原料廉价易得、工艺简单、产品性能优良等特点,适用于多层石墨烯的大规模生产。",中国专利,,CNKI
Patent,1,李新禄;钟奇能;李同涛;张勇来;张欣琳;黄佳木,一种氮原子掺杂石墨烯纳米卷的制备方法,400044 重庆市沙坪坝区沙正街174号,2014-05-28,CN103818895A,发明专利,"一种氮原子掺杂石墨烯纳米卷的制备方法,属于碳纳米材料技术领域。本发明提供了一种氮原子掺杂石墨烯纳米卷的制备方法,以双层石墨烯或多层石墨烯为原料,将石墨烯分散液与氮源饱和溶液混合,经微波加热、离心分离和干燥,制备出氮原子掺杂的石墨烯纳米卷。本发明方法简单、操作方便、生产成本低,能够降低生产能耗,无“三废”排放,有利于环保,便于推广应用。采用本发明方法制备出的石墨烯纳米卷结构完整,外径介于10-200nm,长度为0.1-10um,氮的掺杂量为0.3-15.0％等特点。",中国专利,,CNKI
Patent,1,高丽丽;李长明;张卫珂;李育珍;高利珍;闫少辉,一种不对称修饰石墨烯或氧化石墨烯的方法,030024 山西省太原市万柏林区迎泽西大街79号,2014-05-28,CN103818896A,发明专利,"本发明涉及一种修饰石墨烯的方法,尤其是对石墨烯相反两个平面进行不对称修饰的方法。针对石墨烯因表面能大易团聚易起皱,不易平铺；以及其现有技术中不能同时对石墨烯两面进行不对称修饰等问题,提出一种对石墨烯进行两面不对称修饰的方法。具体包括如下步骤：1)提供石墨烯或氧化石墨烯的水性分散溶液；2)加入与水互不相溶的有机相；3)加入含C10-C18烷基链的季铵盐阳离子表面活性剂,振荡或搅拌使表面活性剂与石墨烯反应,使石墨烯从水相转移组装到有机相／水界面上；4)分别在水相和有机相中添加不同的修饰材料,修饰材料通过吸附分别附着到石墨烯的两面上；5)等吸附平衡后,分离出吸附有修饰材料的石墨烯。",中国专利,,CNKI
Patent,1,刘俊;杨忠,一种用兰炭制备多层石墨烯的方法,830063 新疆维吾尔自治区乌鲁木齐市南湖北路116号新疆出入境检验检疫局,2014-05-28,CN103818897A,发明专利,"本发明公开了一种利用兰炭为原料通过微波加热直接制备多层石墨烯粉体的方法。该制备方法将兰炭与碱混合,采用微波快速加热的方式大量、快速制备多层石墨烯,制备过程中通过高温热解将兰炭在强碱的作用下得到多层石墨烯,后续使用水洗、酸洗去除杂质。本发明的效果和优势在于所制得的多层石墨烯收率和含量较高,可在锂离子电池负极材料、吸附材料和催化剂载体等诸多领域取得应用；同时原料廉价易得、工艺简单、产品性能优良等特点,适用于多层石墨烯的大规模生产。",中国专利,,CNKI
