RT,SR,A1,T1,AD,FD,ID,CL,AB,DB,LA,DS
Patent,1,肖柯;吕宏鸣;伍晓明;钱鹤;吴华强,石墨烯光探测器及其制备方法,100083 北京市海淀区清华园1号,2013-03-20,CN102983178A,发明专利,"本发明公开了一种石墨烯光探测器及其制备方法,其中,石墨烯光探测器包括：基板；基板上形成有第一金属电极图形；第一金属电极图形上形成有第二金属电极图形；且任两个相邻的第一金属电极中：一第一金属电极上形成有第二金属电极,另一第一金属电极上没有第二金属电极；第一金属电极图形和第二金属电极图形上形成有石墨烯,石墨烯的功函数介于第一金属电极的功函数和第二金属电极的功函数之间,石墨烯上还形成有金属接触层图形,各金属接触电极与第一金属电极和第二金属电极对应。本发明降低了器件制备过程中对石墨烯迁移率等特性的影响,提高所制备的探测器的性能,可形成良好的电极接触,增大光电感应的频率范围。",中国专利,,CNKI
Patent,1,郭雪峰;高力,一种制备去除表面生物分子的基于石墨烯电极的分子器件的方法,100871 北京市海淀区颐和园路5号北京大学化学院与分子工程学院,2013-03-20,CN102983291A,发明专利,"本发明公开了一种制备去除表面生物分子的基于石墨烯电极的分子器件的方法。该方法包括下述步骤：1)制备石墨烯晶体管器件阵列；其中,所述石墨烯晶体管器件阵列中的导电沟道为石墨烯；在所述石墨烯上设有一个通道,所述通道上间隔设有长度为1-10nm的DNA序列连接部位,该连接部位与所述石墨烯晶体管器件中的源极和漏极垂直；2)对石墨烯电极的分子连接器件用TritonX-100浸泡0.5-3小时；3)将设计的DNA序列连接到纳米间隙中,得到DNA单分子连接器件。将本发明制备的基于石墨烯电极的单分子连接器件进行电学信号检测,同时设置对照实验,检测结果表明该方法可以有效去除石墨烯电极的分子器件表面的生物分子,有利...",中国专利,,CNKI
Patent,1,冯雷雨;杨兰琴;陈银广;罗景阳,介孔状石墨型氮化碳/氮掺杂石墨烯复合材料及制备方法,200092 上海市杨浦区四平路1239号,2013-03-27,CN102989497A,发明专利,"本发明新能源材料制备技术领域,涉及一种介孔状石墨型氮化碳/氮掺杂石墨烯复合材料及其制备方法。该方法包括以下步骤：(1)依次将氮掺杂石墨烯、介孔状氮化碳和表面活性剂加入到去离子水中,加热搅拌混合均匀,得到三者的混合溶液；(2)对本步骤(1)得到的混合溶液进行超声处理,然后用蒸馏水反复洗涤,干燥,即得到介孔状石墨型氮化碳/氮掺杂石墨烯复合材料。本发明制备的介孔状石墨型氮化碳/氮掺杂石墨烯复合材料的产率高,应用范围广,可用在燃料电池、光降解反应器等领域。本发明方法具有工艺简单、成本低廉、产率高、周期短、环境友好等优点,可以适用于工业化大规模生产介孔状石墨型氮化碳/氮掺杂石墨烯复合材料。",中国专利,,CNKI
Patent,1,柴正;王东;宁静;韩砀;闫景东;张进成;郝跃,一种微纳尺度石墨烯自组装生长的方法,710065 陕西省西安市雁塔区太白南路2号,2013-04-03,CN103014845A,发明专利,"本发明属于半导体制备技术领域,提供了一种微纳尺度石墨烯自组装生长的方法,该方法在衬底上利用电子束蒸发形成过渡族金属薄膜,通过控制电子束蒸发过渡族金属的流量、温度、压强、时间因素以控制过渡族金属薄膜的厚度,利用金属薄膜的表面张力,在衬底上自然形成过渡族金属颗粒分布,继而在形成的过渡族金属颗粒分布阵列上通过化学气相沉积(CVD)形成微纳尺度的石墨烯；该方法采用过渡族金属自组装生长技术,石墨烯材料的晶格质量得到了有效地提高,同时与衬底形成了良好的接触,所制备的微纳尺度石墨烯材料可作为二次覆盖的籽晶及石墨烯器件的电极使用,实用性强,具有较强的推广与应用价值。",中国专利,,CNKI
Patent,1,郑玉婴;林锦贤;杜奇峰,一种石墨烯/MnO2/共轭聚合物复合材料及其制备方法和应用,350108 福建省福州市闽侯县上街镇大学城学园路2号福州大学新区,2013-04-03,CN103013056A,发明专利,"本发明公开了一种石墨烯/MnO2/共轭聚合物复合材料及其制备方法和应用,包括以下步骤：(1)采用改进的Hummer方法制备氧化石墨；(2)石墨烯/MnO2复合物的制备；(3)石墨烯/MnO2/共轭聚合物复合材料的制备。该电极材料具有较好的电化学性能,是一种优良的超级电容器电极材料,制备方法简单,可推广应用,具备显著的经济和社会效益。",中国专利,,CNKI
Patent,1,黄玉东;李艳伟;宋元军;刘丽;胡桢;黎俊;孙德武;黎菁菁,一种石墨烯/PBO聚合物的制备方法,150001 黑龙江省哈尔滨市南岗区西大直街92号,2013-04-03,CN103013113A,发明专利,"一种石墨烯/PBO聚合物的制备方法,本发明涉及一种聚合物的制备方法。本发明是要解决现有的技术方法存在PBO聚合的分子量低的问题。方法：一、得到混合溶液；二、得到混合物；三、得到石墨烯/PBO聚合物。本发明通过石墨烯的添加,提高了PBO聚合物体系的分子量,石墨烯/PBO聚合物的分子量提高至1.2×104~3.0×104。本发明用于制备石墨烯/PBO聚合物。",中国专利,,CNKI
Patent,1,侯施凤,配位基团修饰的石墨烯的制备方法和应用,美国新泽西州蒙特克莱尔区第一师范大街学院厅NJ07043,2013-04-03,CN103025654A,发明专利,"本发明是和配位基团修饰的氧化石墨烯,其具有以下的分子式G(A-B)x；其中,G代表氧化石墨烯,A是具有连接功能的基团：-(CH2)m-、-NH-、-S-、-O-Si(-CH2)m(-OR1)2-、-C(=O)-、-C(=O)-O-、-C(=O)-N-、-P(=O)2-O-、这里m值是1-12,R1是H和C1-C12烷基基团；B是配位基团,每个氧化石墨烯单元对配位基团的比率为1∶0.00001到1∶0.5.这种配位基团修饰的氧化石墨烯及还原氧化石墨烯具有广泛的用途。",中国专利,,CNKI
Patent,1,罗建平;王俊中,通过石墨剥离形成石墨烯的方法,新加坡新加坡城,2013-04-03,CN103025655A,发明专利,"本发明涉及通过石墨剥离形成石墨烯(G)的方法,其中所述方法包括：提供具有碳的原子层(11)的石墨样品(10)；将盐(12)和溶剂(14)引入所述原子层之间的空间(9)中；使用来自所述溶剂和所述盐的有机分子和离子使所述空间膨胀；以及使用驱动力(45)将所述原子层分开,以形成一个或更多个石墨烯片。由所述方法生产的石墨烯可用于形成太阳能电池(70)、进行DNA分析、以及用于其他电学、光学和生物学应用。",中国专利,,CNKI
Patent,1,谢宇;赵杰;凌云;闫思凤;石磊;朱卫多;刘锦梅;余远福;张凯;赖强,一种石墨烯/DBSA改性碳纳米管/聚噻吩复合吸波材料添加剂的制备方法,330063 江西省南昌市丰和南大道696号,2013-03-27,CN102993645A,发明专利,"本发明提供一种石墨烯/DBSA改性碳纳米管/聚噻吩复合吸波材料添加剂的制备方法。本发明先采用十二烷基苯磺酸(DBSA)对多壁碳纳米管进行改性,并以该改性碳纳米管、石墨烯、噻吩单体为原料,通过原位聚合,制备出石墨烯/DBSA改性碳纳米管/聚噻吩复合吸波材料添加剂。该复合材料添加剂具有良好的电磁性能,在微波吸收领域具有重要的应用价值。",中国专利,,CNKI
Patent,1,谢宇;赵杰;凌云;闫思凤;石磊;朱卫多;余远福;刘锦梅;张凯;赖强,一种石墨烯/CoFe2O4/聚苯胺复合吸波材料的制备方法,330063 江西省南昌市丰和南大道696号,2013-04-03,CN103012786A,发明专利,"本发明提供一种石墨烯/CoFe2O4/聚苯胺复合吸波材料的制备方法。本发明先以管径30～50nm多壁碳纳米管为原料制备出石墨烯,再以Co(NO3)2·6H2O、Fe(NO3)3·9H2O为原料采用溶胶-凝胶自蔓延燃烧法制备出CoFe2O4,最后以制备的石墨烯、CoFe2O4、苯胺单体为原料,采用原位聚合法制备出石墨烯/CoFe2O4/聚苯胺复合材料。该复合材料具有良好的导电性能、磁性能和稳定性,在微波吸收、电磁屏蔽领域具有重要应用价值。",中国专利,,CNKI
