RT,SR,A1,T1,AD,FD,ID,CL,AB,DB,LA,DS
Patent,1,李玲;陈思繁;宋浩,一种含有石墨烯的共混膜及其制备方法,518060 广东省深圳市南山区南海大道3688号,2016-01-06,CN105218987A,发明专利,"本发明适用于太阳能电池背膜的制备,提供了一种含有石墨烯的共混膜及其制备方法,所述共混膜为二氧化钛接枝物、PVDF、PMMA、PPA和石墨烯的共混膜,所述二氧化钛接枝物为表面接枝有硅烷偶联剂KH570的改性二氧化钛。本发明由于接枝物的存在克服了二氧化钛在共混膜中存在不均匀的现象,用于太阳能电池背膜时,薄膜与其他背板基材之间粘结力也大大增强,PMMA、PPA和石墨烯的存在也使提高了太阳能电池背膜的抗老化性、导热性和表面光滑性,其制备方法为：首先在二氧化钛表面接枝硅烷偶联剂KH570,再按质量比称量TiO2接枝物、PVDF、PMMA、PPA、石墨烯进行混合,搅拌均匀后,挤出成条...",中国专利,,CNKI
Patent,1,党渭铭;顾晨海,一种化学法石墨烯生产系统,214142 江苏省无锡市国家高新技术产业开发区华友东路6号,2016-01-13,CN204958408U,实用新型,"本实用新型公开了一种化学法石墨烯生产系统,具有反应釜,所述反应釜顶部具有数个加料口,其特征在于,所述反应釜的下方设置有管式反应器,所述管式反应器的一端通过循环泵与反应釜下端连通,另一端与反应釜上端连通,所述管式反应器外侧设置有冷却夹套,反应釜内介质通过循环泵流入管式反应器内经冷却后又重新从顶部流入反应釜内。本实用新型具有的有益效果：反应釜内的介质通过循环泵经管式反应器冷却后返回反应釜,实现外循环冷却,弥补了釜因放大而传热强度降低的弊端；并且由于泵的输送,形成管道反应器内强烈湍动,强化了混合和传质过程,加速了化学反应。",中国专利,,CNKI
Patent,1,蒋永华;栗建民;郝建东;张维,磺化石墨烯金属盐固态聚合物电解质及其制备方法和应用,215000 江苏省苏州市工业园区星湖街218号生物纳米园A4楼112室,2016-01-06,CN105218992A,发明专利,"本发明公开了一种磺化石墨烯金属盐固态聚合物电解质及其制备方法和应用。该磺化石墨烯金属盐固态聚合物电解质包括磺化石墨烯金属盐和固态聚合物电解质,该磺化石墨烯金属盐由磺化石墨烯中的部分磺酸与金属化合物反应制得；该固态聚合物电解质选自多羟基类聚合物；磺化石墨烯金属盐与固态聚合物电解质之间由磺化石墨烯中的部分磺酸与固态聚合物电解质中部分羟基反应制得。本发明的磺化石墨烯金属盐固态聚合物电解质具有较高离子电导率,较宽的电化学窗口,与电极材料的化学和电化学相容性好,在锂离子电池、超级电容器等电化学/物理储能设备中具有广泛应用前景,且制备工艺简单,易于实施和调控,反应条件温和,原料来源广泛,便于规模化生产。",中国专利,,CNKI
Patent,1,黄杰;沈政,一种改性石墨烯-聚乙烯醇复合薄膜的制备方法,400054 重庆市巴南区李家沱红光大道69号,2016-01-06,CN105218996A,发明专利,"本发明公开了一种改性石墨烯-聚乙烯醇复合薄膜的制备方法,本发明的改性剂选用7-羟基-4-甲基香豆素,本发明选用水合肼、维生素C或葡萄糖等化学还原剂；先制备改性石墨烯,再配制改性石墨烯的分散液,然后将改性石墨烯的分散液加入到聚乙烯醇水溶液中,得到分散均匀的改性石墨烯-聚乙烯醇混合溶液；最后将上述混合溶液倒入器皿中,在大气或者真空环境下,于40-70摄氏度干燥至恒重,得到改性石墨烯/聚乙烯醇复合薄膜。其中,改性石墨烯的质量分数为0.1%-10%。本发明具有制备简单、反应条件温和、易于操控制等优点。",中国专利,,CNKI
Patent,1,张弛;王爱健;虞王;宋京宝;钱军;龙凌亮,卟啉-还原氧化石墨烯非线性光学材料及其制备方法,212013 江苏省镇江市京口区学府路301号,2016-01-06,CN105218556A,发明专利,"本发明属于军工强激光防护材料领域,涉及卟啉-还原氧化石墨烯非线性光学材料及其制备方法,具体为自由基亲电加成制备的卟啉共价功能化的还原氧化石墨烯纳米杂化非线性吸收光学功能材料。本发明主要是针对目前激光防护材料存在的问题和石墨烯类材料溶解性较差的局限,开发具有良好溶解性的新型卟啉共价功能化的还原氧化石墨烯类非线性吸收光学功能材料,通过采用自由基亲电加成将卟啉共价修饰在还原氧化石墨烯表面,制备的有机-无机纳米杂化光敏功能材料集卟啉与还原氧化石墨烯两者的特性于一体,同时利用组分间的协同效应使杂化材料具有比其单一材料更优良的非线性光学性能,并且改善了石墨烯的溶解性和分散稳定性,具有良好的应用前景。",中国专利,,CNKI
Patent,1,吴斌;王世强;单升升;景录如;黄芬;夏媛娇;井丰喜,一种苯并ﾇf嗪/环氧树脂/氧化石墨烯复合材料及其制备方法,215214 江苏省苏州市吴江区汾湖经济开发区北厍育才路36号,2016-01-06,CN105219025A,发明专利,"本发明提供一种苯并ﾇf嗪/环氧树脂/氧化石墨烯复合材料及其制备方法,该三元复合材料降低了固化温度,增加了韧性。包括如下步骤：步骤1、将氧化石墨烯溶于溶剂中制得氧化石墨烯溶液；步骤2、在步骤1制得的氧化石墨烯溶液中加入环氧树脂,搅拌使之分散均匀,制得环氧树脂和氧化石墨烯混合液；步骤3、在步骤2制得的环氧树脂和氧化石墨烯混合液中加入苯并ﾇf嗪中间体,搅拌使之分散均匀,制得苯并ﾇf嗪/...",中国专利,,CNKI
Patent,1,元栋观;尹锺赫,石墨烯合成装置及利用该装置的石墨烯合成方法,韩国庆尚南道昌原市,2016-01-13,CN105246588A,发明专利,"本发明公开一种石墨烯合成装置,包括：腔室,定义用于安置多个基板的内部空间,其中,所述多个基板被布置为其各个面相互面对；气体供应部,将含碳气体供应到所述内部空间；主加热部,向所述内部空间照射辐射热；第一辅助加热部,对应于所述主加热部而被布置为面向所述基板的一个表面,且将所述辐射热转化为对流热并将转化的对流热释放到所述内部空间；多个第二辅助加热部,被布置为在所述多个基板之间的各个间隔中且面向所述基板的至少一个表面,并在吸收所述辐射热和所述对流热而被加热之后将热量释放到所述内部空间。",中国专利,,CNKI
Patent,1,曾鸣;许清强;徐庆玉;李然然;冯子健,原位插层溶液法制备的功能化氧化石墨烯增强苯并ﾇf嗪基复合树脂,430074 湖北省武汉市洪山区鲁磨路388号,2016-01-06,CN105219078A,发明专利,"本发明涉及原位插层溶液法制备的功能化氧化石墨烯增强苯并ﾇf嗪基复合树脂及其制备方法,其制备方法如下：1)以天然鳞片石墨为原料,通过改进的Hummers方法制得氧化石墨；2)将氧化石墨进行化学改性,得到羧基化氧化石墨烯或氨基化氧化石墨烯；3)将功能化氧化石墨烯分散于有机溶剂中,得到功能化氧化石墨烯分散液,将功能化氧化石墨烯分散液与树脂预聚体溶液进行共混得到混合液；4)将混合液于80～100℃抽真空脱气1～2h,再于100～220℃固化反应4～24h,得到功能化氧化石墨烯增强苯并ﾇf嗪基复合树脂。本发明制备的复合树脂固化无收缩,具有良好的耐热性、耐湿性、机械性能和电气性能。",中国专利,,CNKI
Patent,1,徐志伟;朱婷;倪亚;陈磊;石睫,一种制备三维石墨烯/碳纳米管超轻结构体的方法,300387 天津市西青区宾水西道399号,2016-01-13,CN105236384A,发明专利,"一种制备三维石墨烯/碳纳米管超轻结构体的方法。本发明将浸渍法和等离子体增强化学气相沉积(PECVD)技术相结合,实现碳纳米管在三维石墨烯泡沫上的原位生长,从而获得三维石墨烯/碳纳米管超轻结构体。此外,通过调节浸渍液和PECVD技术参数,可调控碳纳米管在三维石墨烯泡沫上的生长行为。本发明涉及的三维石墨烯/碳纳米管超轻结构体制备技术既确保了三维骨架结构的完整性,又具有工艺简单,周期短,产率高,成本低,绿色环保等优点,可实现工业化批量生产。",中国专利,,CNKI
Patent,1,刘富池;孙媛媛;汤怒江;钟伟;都有为,大规模制备石墨烯量子点的方法与装置,210093 江苏省南京市鼓楼区汉口路22号,2016-01-13,CN105236389A,发明专利,"一种大规模制备石墨烯量子点的方法,以导电炭黑为原材料,以浓硝酸为氧化剂,将导电炭黑和浓硝酸放在烧瓶中,同时放入磁力搅拌子；烧瓶设有回流装置,回流装置的管道中的一段为冷凝管；将烧瓶置于油浴锅中,把油浴锅升温至135±2℃,在磁力搅拌子搅拌下,在135℃下回流反应24±6小时；然后关闭低温恒温浴装置,把油浴锅升温至180±2℃,向烧瓶底通入氩气,在180±2℃下蒸发浓硝酸10±2小时；把所得的固体样品溶于去离子水中,然后使用高速离心机离心；取离心后所得的上层悬浮液分别用220nm和25nm的滤膜进行过滤,去除未氧化的炭黑或者大的颗粒；收集抽滤后所得的石墨烯量子点溶液,用旋转蒸发仪在40-80℃对其...",中国专利,,CNKI
Patent,1,王小英;叶伟杰;孙润仓,木质素溶液制备石墨烯的方法,510640 广东省广州市天河区五山路381号,2016-01-13,CN105236391A,发明专利,"本发明公开了一种木质素溶液制备石墨烯的方法。以造纸黑液中提取的木质素作为还原剂和稳定剂,将木质素溶解在碱性溶液中,在加热条件下与氧化石墨烯水溶液发生氧化还原反应,通过控制反应温度、时间和木质素的浓度,得到稳定分散的石墨烯。该过程操作简单,是一种绿色、环保、快速的石墨烯制备方法,完全符合“绿色化学”的要求。木质素是储量丰富的天然生物质资源,但是大部分作为废物排放。因此,本发明不仅为石墨烯的绿色合成提供了一条新思路,更对资源高值化利用的发展产生重大意义。",中国专利,,CNKI
