RT,SR,A1,T1,AD,FD,ID,CL,AB,DB,LA,DS
Patent,1,辛清萍;张玉忠;黄丹丹;刘焕冉;倪亚洲;率影倩,磺化聚醚醚酮-磺化氧化石墨烯杂化膜及制备和应用,300387 天津市西青区宾水西道399号天津工业大学,2016-06-22,CN105694358A,发明专利,"本发明公开了一种磺化聚醚醚酮-磺化氧化石墨烯杂化膜,所述杂化膜是由磺化聚醚醚酮与磺化氧化石墨烯杂化膜所构成。其制备过程包括：以Hummer法合成的氧化石墨烯与3-(异丁烯酰)丙基三甲氧基硅烷进行反应,得双键修饰的氧化石墨烯；然后将双键修饰的氧化石墨烯与苯乙烯磺酸钠在引发剂的作用下制备磺化氧化石墨烯；磺化氧化石墨烯与磺化聚醚醚酮溶液共混得到铸膜液,经流延法制得该杂化膜。本发明杂化膜的原料易得,制备过程简便可控,制得的磺化聚醚醚酮-磺化氧化石墨烯杂化膜应用于CO2/CH4气体分离,具有较高的选择性和渗透性。",中国专利,,CNKI
Patent,1,焦云;马庆,一种超声与电场协同作用快速剥离石墨烯的装置,154603 黑龙江省七台河市新兴区宝泰隆路16号,2016-06-22,CN205328621U,实用新型,"一种超声与电场协同作用快速剥离石墨烯的装置,它涉及一种快速剥离石墨烯的装置,它要解决现有制备石墨烯的方法存在的各种缺陷的问题。装置包括超声装置、石墨正电极、石墨负电极和容器。本实用新型采用高纯石墨块或石墨板作为正负电极,在超声与电场的协同作用,电解液中的插层剂进入石墨电极内使石墨烯从石墨块体的表面快速剥离,并进一步破碎分离从电极中剥离的石墨烯。收集石墨烯粉后过滤、洗涤和冷冻干燥得到薄层石墨烯,并且石墨烯的均匀性及分散性良好。本实用新型为超声与电场协同作用快速剥离石墨烯的装置,对设备要求低,装置配置简单,成本低,产率高,便于产业化生产。本实用新型的装置能够于超声与电场协同下快速剥离制备石墨烯。",中国专利,,CNKI
Patent,1,焦云;马庆,一种超声与电场协同作用快速剥离石墨烯的装置,154603 黑龙江省七台河市新兴区宝泰隆路16号,2016-06-22,CN205328622U,实用新型,"一种超声与电场协同作用快速剥离石墨烯的装置,它涉及一种快速剥离石墨烯的装置,它要解决现有制备石墨烯的方法存在的各种缺陷的问题。装置包括超声装置、石墨正电极、石墨负电极和容器。本实用新型采用高纯石墨作为正负电极,在超声与电场的协同作用,电解液中的插层剂进入石墨电极内使石墨烯从石墨块体的表面快速剥离,并进一步破碎分离从电极中剥离的石墨烯。收集石墨烯粉后过滤、洗涤和冷冻干燥得到薄层石墨烯,并且石墨烯的均匀性及分散性良好。本实用新型为超声与电场协同作用快速剥离石墨烯的装置,对设备要求低,装置配置简单,成本低,产率高,便于产业化生产。本实用新型的装置能够于超声与电场协同下快速剥离制备石墨烯。",中国专利,,CNKI
Patent,1,焦云;马庆,一种超声与电场协同作用快速剥离石墨烯的装置,154603 黑龙江省七台河市新兴区宝泰隆路16号,2016-06-22,CN205328623U,实用新型,"一种超声与电场协同作用快速剥离石墨烯的装置,它涉及一种快速剥离石墨烯的装置,它要解决现有制备石墨烯的方法存在的各种缺陷的问题。装置包括超声装置、石墨正电极、石墨负电极和容器。本实用新型采用高纯石墨块或石墨板作为正负电极,在超声与电场的协同作用,电解液中的插层剂进入石墨电极内使石墨烯从石墨块体的表面快速剥离,并进一步破碎分离从电极中剥离的石墨烯。收集石墨烯粉后过滤、洗涤和冷冻干燥得到薄层石墨烯,并且石墨烯的均匀性及分散性良好。本实用新型为超声与电场协同作用快速剥离石墨烯的装置,对设备要求低,装置配置简单,成本低,产率高,便于产业化生产。本实用新型的装置能够于超声与电场协同下快速剥离制备石墨烯。",中国专利,,CNKI
Patent,1,陈晓兵,撞击流3马赫石墨烯生产线,314500 浙江省嘉兴市桐乡市梧桐街道发展大道1488号1幢3楼301-302室,2016-06-22,CN205328627U,实用新型,"本实用新型涉及石墨烯生产装置领域,尤其是一种撞击流3马赫石墨烯生产线,它包括进料机构、加速机构、撞击机构和喷射机构,进料机构为将石墨粉输送至加速机构的装置,加速机构为将石墨粉加速至1.2马赫以上的装置,加速机构与撞击机构连接,所述的撞击机构是为高速中的石墨粉之间进行撞击提供环境的装置,撞击机构与喷射机构连接,在喷射机构的出口端设置有基板,喷射机构为将撞击后的石墨粉喷射出去并撞击在基板上的装置。该撞击流3马赫石墨烯生产线,结构简单,生产工艺方便,能有效的降低石墨烯产品的生产成本,而且环保无污染；同时生产产量大。",中国专利,,CNKI
Patent,1,刘双;刘澜涛;张付力;冯翠兰;王涛,一种六棱柱型石墨烯-金属有机框架复合材料及其制备方法,476000 河南省商丘市平原中路55号,2016-06-22,CN105688867A,发明专利,"本发明涉及一种六棱柱型石墨烯-金属有机框架复合材料及其制备方法,属于高分子化学、聚合物自组装及超分子材料技术领域。首先通过溶剂热反应使羧基化石墨烯与铜离子配位以制备前驱体；其次,直接在前驱体反应液加入有机羧酸配体,二次溶剂热反应,前驱体起到晶体生长的结构导向作用。相比于铜基配位聚合物原本的八面体构型,羧基化石墨烯-铜离子配位前驱体使复合材料的形貌转换为六棱柱型,且在气体吸附方面的性能有所提高。本发明制备工艺简单,成本低,能够在温和条件下以羧基化石墨烯-铜离子配位前驱体为结构导向剂,从而调变铜基配位聚合物的形貌,改善材料的气体吸附性能。这为金属有机配位聚合物在形貌调变方面提供了一种全新的途径。",中国专利,,CNKI
Patent,1,任文才;马超群;裴嵩峰;黄坤;成会明,一种石墨烯复合材料作为电磁屏蔽材料的应用,110016 辽宁省沈阳市沈河区文化路72号,2016-06-22,CN105694427A,发明专利,"本发明公开了一种石墨烯复合材料作为电磁屏蔽材料的应用,属于新材料及其应用技术领域。通过将石墨烯与泡沫海绵复合,使石墨烯材料均匀包覆在泡沫海绵骨架表面,制备出具有各向同性、三维连通的导电网络骨架的石墨烯复合材料。该材料电磁屏蔽性能优异,1.5mm厚电磁屏蔽效能即可达40dB。同时该材料可承受达80％的压缩变形,具有良好的柔性和弹性,密度只有0.05g/cm3左右,单位密度电磁屏蔽效能可达800dB·cm3/g。该材料作为电磁屏蔽材料使用,可有效屏蔽电磁辐射干扰,提高电子产品的可靠性及延长其使用寿命。所述石墨烯复合材料可采用工业化方法大量制备,成本低,具...",中国专利,,CNKI
Patent,1,钟世安;李雨晴;陈琪;李慧;孙燕华;朱小红,基于氧化石墨烯牺牲材料制备表面分子印迹微球的方法及应用,410083 湖南省长沙市岳麓区麓山南路932号,2016-06-22,CN105693909A,发明专利,"本发明公开了一种基于氧化石墨烯牺牲材料制备表面分子印迹微球的方法及应用,该方法以氧化石墨烯纳米片作为稳定粒子,以双氯芬酸为目标分子,通过皮克林乳液聚合制备了聚合物微球,再进一步用溶剂将氧化石墨烯去除,即得表面分子印迹微球。由于制备的微球表面印迹位点得到充分暴露,故能实现对目标分子快速高效吸附,可广泛应用于溶液体系中双氯芬酸的高效选择性去除；且表面分子印迹微球的制备方法步骤简单、安全环保,有利于工业生产。",中国专利,,CNKI
Patent,1,曾荣今;陈国良;熊春刚;李耿贤;成奋民;陈述,一种在室温条件下制备金属卟啉-石墨烯纳米复合材料的方法,411201 湖南省湘潭市雨湖区石码头2号,2016-06-22,CN105688995A,发明专利,"本发明公开了一种在室温条件下制备金属卟啉-石墨烯纳米复合材料的方法。该纳米复合材料在水溶液中以金属离子、卟啉、石墨烯为主要原料,通过改变氧化石墨烯的化学还原程度、阳离子卟啉的分子结构、体系pH值等来调控金属离子嵌入卟啉环的能力,实现了在室温条件下金属卟啉-石墨烯纳米复合材料的快速制备。与现有的金属卟啉-石墨烯复合材料的制备技术相比,本发明提供的方法无需高温条件或长时间加热回流过程来实现金属离子与卟啉的配位过程,制备条件绿色温和、操作简捷、结构稳定,适用于放大制备和实际生产应用,在催化材料、光电材料和重金属离子处理等领域有着广阔的应用前景。",中国专利,,CNKI
Patent,1,王海鹰;李晓锐;柴立元;张理源;杨志辉;唐崇俭;杨卫春;闵小波,一种负载纳米粒子的石墨烯/菌丝水凝胶及其制备方法和应用,410083 湖南省长沙市岳麓区麓山南路932号,2016-06-29,CN105709701A,发明专利,"本发明公开了一种负载纳米粒子的石墨烯/菌丝水凝胶及其制备方法和应用,属于生物质基复合材料制备领域。本发明将纳米粒子分散于石墨烯中,加入丝状真菌菌丝基体,在水热反应条件下,使氧化石墨烯分别与菌体表面、纳米粒子发生交联作用,形成纳米材料负载于菌丝与石墨烯的大孔网状基体的三元复合水凝胶。本发明制备过程简单,绿色环保,无有毒有害试剂的引入,避免了二次污染,而且以真菌菌丝作为材料基体,可实现系列纳米粒子的稳定负载,提高复合材料功能的选择性,有利于实现大规模生产。本发明所得材料具有优异的染料循环吸附性能,染料十次循环吸附的去除率平均可达到96％以上。",中国专利,,CNKI
